"id","block_id","day","start_time","end_time","time_limit_minutes"
"2058","51350",Wed,"08:00:00","20:00:00",240
"2059","51350",Thu,"08:00:00","20:00:00",240
"2060","51350",Fri,"08:00:00","20:00:00",240
"2061","51350",Sat,"08:00:00","20:00:00",240
"2062","38439",Mon,"08:00:00","19:00:00",120
"2063","38439",Tue,"08:00:00","19:00:00",120
"2064","38439",Wed,"08:00:00","19:00:00",120
"2065","38439",Thu,"08:00:00","19:00:00",120
"2066","38439",Fri,"08:00:00","19:00:00",120
"2067","38439",Sat,"08:00:00","19:00:00",120
"2068","36850",Mon,"10:00:00","19:00:00",120
"2069","36850",Tue,"10:00:00","19:00:00",120
"2070","36850",Wed,"10:00:00","19:00:00",120
"2071","36850",Thu,"10:00:00","19:00:00",120
"2072","36850",Fri,"10:00:00","19:00:00",120
"2073","36850",Sat,"08:30:00","19:00:00",120
"2074","38440",Mon,"08:00:00","19:00:00",120
"2075","38440",Tue,"08:00:00","19:00:00",120
"2076","38440",Wed,"08:00:00","19:00:00",120
"2077","38440",Thu,"08:00:00","19:00:00",120
"2078","38440",Fri,"08:00:00","19:00:00",120
"2079","38440",Sat,"08:00:00","19:00:00",120
"2080","67294",Mon,"08:00:00","19:00:00",60
"2081","67294",Tue,"08:00:00","19:00:00",60
"2082","67294",Wed,"08:00:00","19:00:00",60
"2083","67294",Thu,"08:00:00","19:00:00",60
"2084","67294",Fri,"08:00:00","19:00:00",60
"2085","67294",Sat,"08:00:00","19:00:00",60
"2086","189388",Mon,"10:00:00","19:00:00",60
"2087","189388",Tue,"10:00:00","19:00:00",60
"2088","189388",Wed,"10:00:00","19:00:00",60
"2089","189388",Thu,"10:00:00","19:00:00",60
"2090","189388",Fri,"10:00:00","19:00:00",60
"2091","189388",Sat,"10:00:00","19:00:00",60
"2092","65757",Mon,"09:00:00","19:00:00",120
"2093","65757",Tue,"09:00:00","19:00:00",120
"2094","65757",Wed,"09:00:00","19:00:00",120
"2095","65757",Thu,"09:00:00","19:00:00",120
"2096","65757",Fri,"09:00:00","19:00:00",120
"2097","65757",Sat,"09:00:00","19:00:00",120
"2098","58935",Mon,"09:00:00","19:00:00",60
"2099","58935",Tue,"09:00:00","19:00:00",60
"2100","58935",Wed,"09:00:00","19:00:00",60
"2101","58935",Thu,"09:00:00","19:00:00",60
"2102","58935",Fri,"09:00:00","19:00:00",60
"2103","58935",Sat,"09:00:00","19:00:00",60
"2104","36798",Mon,"09:00:00","19:00:00",120
"2105","36798",Tue,"09:00:00","19:00:00",120
"2106","36798",Wed,"09:00:00","19:00:00",120
"2107","36798",Thu,"09:00:00","19:00:00",120
"2108","36798",Fri,"09:00:00","19:00:00",120
"2109","36798",Sat,"09:00:00","19:00:00",120
"2110","46869",Mon,"07:00:00","22:00:00",180
"2111","46869",Tue,"07:00:00","22:00:00",180
"2112","46869",Wed,"07:00:00","22:00:00",180
"2113","46869",Thu,"07:00:00","22:00:00",180
"2114","46869",Fri,"07:00:00","22:00:00",180
"2115","46869",Sat,"07:00:00","22:00:00",180
"2116","72078",Mon,"08:00:00","22:00:00",900
"2117","72078",Tue,"08:00:00","22:00:00",900
"2118","72078",Wed,"08:00:00","22:00:00",900
"2119","72078",Thu,"08:00:00","22:00:00",900
"2120","72078",Fri,"08:00:00","22:00:00",900
"2121","72078",Sat,"08:00:00","22:00:00",900
"2122","179466",Mon,"08:00:00","22:00:00",360
"2123","179466",Tue,"08:00:00","22:00:00",360
"2124","179466",Wed,"08:00:00","22:00:00",360
"2125","179466",Thu,"08:00:00","22:00:00",360
"2126","179466",Fri,"08:00:00","22:00:00",360
"2127","66859",Mon,"09:00:00","19:00:00",120
"2128","66859",Tue,"09:00:00","19:00:00",120
"2129","66859",Wed,"09:00:00","19:00:00",120
"2130","66859",Thu,"09:00:00","19:00:00",120
"2131","66859",Fri,"09:00:00","19:00:00",120
"2132","66859",Sat,"09:00:00","19:00:00",120
"2133","69867",Mon,"08:00:00","19:00:00",120
"2134","69867",Tue,"08:00:00","19:00:00",120
"2135","69867",Wed,"08:00:00","19:00:00",120
"2136","69867",Thu,"08:00:00","19:00:00",120
"2137","69867",Fri,"08:00:00","19:00:00",120
"2138","69867",Sat,"08:00:00","19:00:00",120
"2139","38731",Mon,"08:00:00","19:00:00",60
"2140","38731",Tue,"08:00:00","19:00:00",60
"2141","38731",Wed,"08:00:00","19:00:00",60
"2142","38731",Thu,"08:00:00","19:00:00",60
"2143","38731",Fri,"08:00:00","19:00:00",60
"2144","38731",Sat,"08:00:00","19:00:00",60
"2145","42669",Mon,"08:00:00","19:00:00",60
"2146","42669",Tue,"08:00:00","19:00:00",60
"2147","42669",Wed,"08:00:00","19:00:00",60
"2148","42669",Thu,"08:00:00","19:00:00",60
"2149","42669",Fri,"08:00:00","19:00:00",60
"2150","42669",Sat,"08:00:00","19:00:00",60
"2151","43969",Mon,"08:00:00","19:00:00",120
"2152","43969",Tue,"08:00:00","19:00:00",120
"2153","43969",Wed,"08:00:00","19:00:00",120
"2154","43969",Thu,"08:00:00","19:00:00",120
"2155","43969",Fri,"08:00:00","19:00:00",120
"2156","43969",Sat,"08:00:00","19:00:00",120
"2157","53093",Mon,"16:00:00","19:00:00",120
"2158","53093",Tue,"16:00:00","19:00:00",120
"2159","53093",Wed,"16:00:00","19:00:00",120
"2160","53093",Thu,"16:00:00","19:00:00",120
"2161","53093",Fri,"16:00:00","19:00:00",120
"2162","53093",Sat,"16:00:00","19:00:00",120
"2163","84887",Mon,"07:00:00","00:00:00",300
"2164","84887",Tue,"07:00:00","00:00:00",300
"2165","84887",Wed,"07:00:00","00:00:00",300
"2166","84887",Thu,"07:00:00","00:00:00",300
"2167","84887",Fri,"07:00:00","00:00:00",300
"2168","84887",Sat,"07:00:00","00:00:00",300
"2169","46711",Mon,"08:00:00","17:00:00",360
"2170","46711",Tue,"08:00:00","17:00:00",360
"2171","46711",Wed,"08:00:00","17:00:00",360
"2172","46711",Thu,"08:00:00","17:00:00",360
"2173","46711",Fri,"08:00:00","17:00:00",360
"2174","51352",Mon,"09:00:00","19:00:00",120
"2175","51352",Tue,"09:00:00","19:00:00",120
"2176","51352",Wed,"09:00:00","19:00:00",120
"2177","51352",Thu,"09:00:00","19:00:00",120
"2178","51352",Fri,"09:00:00","19:00:00",120
"2179","51352",Sat,"09:00:00","19:00:00",120
"2180","47969",Mon,"10:00:00","19:00:00",60
"2181","47969",Tue,"10:00:00","19:00:00",60
"2182","47969",Wed,"10:00:00","19:00:00",60
"2183","47969",Thu,"10:00:00","19:00:00",60
"2184","47969",Fri,"10:00:00","19:00:00",60
"2185","47969",Sat,"10:00:00","19:00:00",60
"2186","48255",Mon,"08:30:00","19:00:00",60
"2187","48255",Tue,"08:30:00","19:00:00",60
"2188","48255",Wed,"08:30:00","19:00:00",60
"2189","48255",Thu,"08:30:00","19:00:00",60
"2190","48255",Fri,"08:30:00","19:00:00",60
"2191","48255",Sat,"08:30:00","19:00:00",60
"2192","60210",Mon,"08:30:00","19:00:00",120
"2193","60210",Tue,"08:30:00","19:00:00",120
"2194","60210",Wed,"08:30:00","19:00:00",120
"2195","60210",Thu,"08:30:00","19:00:00",120
"2196","60210",Fri,"08:30:00","19:00:00",120
"2197","60210",Sat,"08:30:00","19:00:00",120
"2198","39598",Mon,"13:00:00","19:00:00",120
"2199","39598",Tue,"13:00:00","19:00:00",120
"2200","39598",Wed,"13:00:00","19:00:00",120
"2201","39598",Thu,"13:00:00","19:00:00",120
"2202","39598",Fri,"13:00:00","19:00:00",120
"2203","39598",Sat,"13:00:00","19:00:00",120
"2204","70816",Mon,"08:00:00","19:00:00",120
"2205","70816",Tue,"08:00:00","19:00:00",120
"2206","70816",Wed,"08:00:00","19:00:00",120
"2207","70816",Thu,"08:00:00","19:00:00",120
"2208","70816",Fri,"08:00:00","19:00:00",120
"2209","70816",Sat,"08:00:00","19:00:00",120
"2210","149804",Mon,"08:00:00","22:00:00",900
"2211","149804",Tue,"08:00:00","22:00:00",900
"2212","149804",Wed,"08:00:00","22:00:00",900
"2213","149804",Thu,"08:00:00","22:00:00",900
"2214","149804",Fri,"08:00:00","22:00:00",900
"2215","149804",Sat,"08:00:00","22:00:00",900
"2216","38443",Mon,"10:00:00","19:00:00",60
"2217","38443",Tue,"10:00:00","19:00:00",60
"2218","38443",Wed,"10:00:00","19:00:00",60
"2219","38443",Thu,"10:00:00","19:00:00",60
"2220","38443",Fri,"10:00:00","19:00:00",60
"2221","38443",Sat,"10:00:00","19:00:00",60
"2222","148115",Mon,"09:00:00","19:00:00",60
"2223","148115",Tue,"09:00:00","19:00:00",60
"2224","148115",Wed,"09:00:00","19:00:00",60
"2225","148115",Thu,"09:00:00","19:00:00",60
"2226","148115",Fri,"09:00:00","19:00:00",60
"2227","148115",Sat,"09:00:00","19:00:00",60
"2228","58937",Mon,"09:00:00","19:00:00",60
"2229","58937",Tue,"09:00:00","19:00:00",60
"2230","58937",Wed,"09:00:00","19:00:00",60
"2231","58937",Thu,"09:00:00","19:00:00",60
"2232","58937",Fri,"09:00:00","19:00:00",60
"2233","58937",Sat,"09:00:00","19:00:00",60
"2234","103646",Mon,"08:00:00","19:00:00",60
"2235","103646",Tue,"08:00:00","19:00:00",60
"2236","103646",Wed,"08:00:00","19:00:00",60
"2237","103646",Thu,"08:00:00","19:00:00",60
"2238","103646",Fri,"08:00:00","19:00:00",60
"2239","103646",Sat,"08:00:00","19:00:00",60
"2240","166797",Mon,"09:00:00","19:00:00",240
"2241","166797",Tue,"09:00:00","19:00:00",240
"2242","166797",Wed,"09:00:00","19:00:00",240
"2243","166797",Thu,"09:00:00","19:00:00",240
"2244","166797",Fri,"09:00:00","19:00:00",240
"2245","166797",Sat,"09:00:00","19:00:00",240
"2246","39742",Mon,"09:00:00","19:00:00",120
"2247","39742",Tue,"09:00:00","19:00:00",120
"2248","39742",Wed,"09:00:00","19:00:00",120
"2249","39742",Thu,"09:00:00","19:00:00",120
"2250","39742",Fri,"09:00:00","19:00:00",120
"2251","39742",Sat,"09:00:00","19:00:00",120
"2252","60498",Mon,"09:00:00","19:00:00",120
"2253","60498",Tue,"09:00:00","19:00:00",120
"2254","60498",Wed,"09:00:00","19:00:00",120
"2255","60498",Thu,"09:00:00","19:00:00",120
"2256","60498",Fri,"09:00:00","19:00:00",120
"2257","60498",Sat,"09:00:00","19:00:00",120
"2258","39285",Mon,"09:00:00","19:00:00",60
"2259","39285",Tue,"09:00:00","19:00:00",60
"2260","39285",Wed,"09:00:00","19:00:00",60
"2261","39285",Thu,"09:00:00","19:00:00",60
"2262","39285",Fri,"09:00:00","19:00:00",60
"2263","39285",Sat,"09:00:00","19:00:00",60
"2264","36779",Mon,"08:00:00","19:00:00",60
"2265","36779",Tue,"08:00:00","19:00:00",60
"2266","36779",Wed,"08:00:00","19:00:00",60
"2267","36779",Thu,"08:00:00","19:00:00",60
"2268","36779",Fri,"08:00:00","19:00:00",60
"2269","36779",Sat,"08:00:00","19:00:00",60
"2270","190232",Fri,"08:00:00","19:00:00",240
"2271","53097",Mon,"16:00:00","19:00:00",120
"2272","53097",Tue,"16:00:00","19:00:00",120
"2273","53097",Wed,"16:00:00","19:00:00",120
"2274","53097",Thu,"16:00:00","19:00:00",120
"2275","53097",Fri,"16:00:00","19:00:00",120
"2276","53097",Sat,"16:00:00","19:00:00",120
"2277","36894",Mon,"07:30:00","19:00:00",60
"2278","36894",Tue,"07:30:00","19:00:00",60
"2279","36894",Wed,"07:30:00","19:00:00",60
"2280","36894",Thu,"07:30:00","19:00:00",60
"2281","36894",Fri,"07:30:00","19:00:00",60
"2282","36894",Sat,"07:30:00","19:00:00",60
"2283","190972",Mon,"09:30:00","19:00:00",120
"2284","190972",Tue,"09:30:00","19:00:00",120
"2285","190972",Wed,"09:30:00","19:00:00",120
"2286","190972",Thu,"09:30:00","19:00:00",120
"2287","190972",Fri,"09:30:00","19:00:00",120
"2288","190972",Sat,"09:30:00","19:00:00",120
"2295","69870",Mon,"08:00:00","19:00:00",120
"2296","69870",Tue,"08:00:00","19:00:00",120
"2297","69870",Wed,"08:00:00","19:00:00",120
"2298","69870",Thu,"08:00:00","19:00:00",120
"2299","69870",Fri,"08:00:00","19:00:00",120
"2300","69870",Sat,"08:00:00","19:00:00",120
"2301","68077",Mon,"09:00:00","19:00:00",60
"2302","68077",Tue,"09:00:00","19:00:00",60
"2303","68077",Wed,"09:00:00","19:00:00",60
"2304","68077",Thu,"09:00:00","19:00:00",60
"2305","68077",Fri,"09:00:00","19:00:00",60
"2306","68077",Sat,"09:00:00","19:00:00",60
"2307","69252",Mon,"08:00:00","17:00:00",360
"2308","69252",Tue,"08:00:00","17:00:00",360
"2309","69252",Wed,"08:00:00","17:00:00",360
"2310","69252",Thu,"08:00:00","17:00:00",360
"2311","69252",Fri,"08:00:00","17:00:00",360
"2312","44003",Mon,"09:00:00","19:00:00",60
"2313","44003",Tue,"09:00:00","19:00:00",60
"2314","44003",Wed,"09:00:00","19:00:00",60
"2315","44003",Thu,"09:00:00","19:00:00",60
"2316","44003",Fri,"09:00:00","19:00:00",60
"2317","44003",Sat,"09:00:00","19:00:00",60
"2318","103057",Mon,"09:00:00","19:00:00",120
"2319","103057",Tue,"09:00:00","19:00:00",120
"2320","103057",Wed,"09:00:00","19:00:00",120
"2321","103057",Thu,"09:00:00","19:00:00",120
"2322","103057",Fri,"09:00:00","19:00:00",120
"2323","103057",Sat,"09:00:00","19:00:00",120
"2324","39731",Mon,"08:00:00","19:00:00",120
"2325","39731",Tue,"08:00:00","19:00:00",120
"2326","39731",Wed,"08:00:00","19:00:00",120
"2327","39731",Thu,"08:00:00","19:00:00",120
"2328","39731",Fri,"08:00:00","19:00:00",120
"2329","39731",Sat,"08:00:00","19:00:00",120
"2330","42671",Mon,"08:00:00","19:00:00",60
"2331","42671",Tue,"08:00:00","19:00:00",60
"2332","42671",Wed,"08:00:00","19:00:00",60
"2333","42671",Thu,"08:00:00","19:00:00",60
"2334","42671",Fri,"08:00:00","19:00:00",60
"2335","42671",Sat,"08:00:00","19:00:00",60
"2336","69869",Mon,"08:00:00","19:00:00",120
"2337","69869",Tue,"08:00:00","19:00:00",120
"2338","69869",Wed,"08:00:00","19:00:00",120
"2339","69869",Thu,"08:00:00","19:00:00",120
"2340","69869",Fri,"08:00:00","19:00:00",120
